map #,API,Operator,Well,Latitude,Longitude,Tnsp,Rng,sec,QQ,Meridian,Elev,Ref,sample #,top,bottom,Formation,% CaCO3,Tmax,S1,S2,G.P.,S3,PI,S2/S3,LECO TOC,TC,HI,OI,(S1/TOC)*100,LIMS ID
,,,,,,,,,,,feet,,,feet,feet,,(TC-TOC)*8.33,°C,mgHC/g-rock,mgHC/g-rock,S1+S2,mgCO2/g-rock,S1/(S1+S2),,Wt. %,Wt. %,(S2/TOC)*100,(S3/TOC)*100,,
30,4902505657,Argo Oil Corp.,1 Jacobs,42.843959,-106.721318,33N,82W,7,se nw,Sixth Principal,"5,891",KB,WRB-2018-80,690,700,Mowry,1.00,427,0.29,5.25,5.54,0.69,0.05,8,2.49,2.61,210,28,12,E181014-038
30,4902505657,Argo Oil Corp.,1 Jacobs,42.843959,-106.721318,33N,82W,7,se nw,Sixth Principal,"5,891",KB,WRB-2018-81,740,750,Mowry,4.50,420,0.81,13.62,14.43,0.85,0.06,16,3.60,4.14,378,24,22,E181014-039
30,4902505657,Argo Oil Corp.,1 Jacobs,42.843959,-106.721318,33N,82W,7,se nw,Sixth Principal,"5,891",KB,WRB-2018-82,810,820,Mowry,0.92,424,0.47,9.04,9.51,0.68,0.05,13,2.90,3.01,312,23,16,E181014-040
30,4902505657,Argo Oil Corp.,1 Jacobs,42.843959,-106.721318,33N,82W,7,se nw,Sixth Principal,"5,891",KB,WRB-2018-83,890,895,Shell Creek,0.83,433,0.16,0.63,0.79,0.48,0.2,1,1.13,1.23,56,43,14,E181014-041
30,4902505657,Argo Oil Corp.,1 Jacobs,42.843959,-106.721318,33N,82W,7,se nw,Sixth Principal,"5,891",KB,WRB-2018-84,975,980,Thermopolis,7.50,435,0.21,1.75,1.96,0.50,0.11,4,1.32,2.22,133,38,16,E181014-042
31,4902521409,Kirkwood Oil & Gas,Federal 21-21,42.81917,-106.68306,33N,82W,21,ne nw,Sixth Principal,"5,628",KB,WRB-2018-85,920,930,Mowry,2.83,424,0.58,9.10,9.68,0.64,0.06,14,2.78,3.12,327,23,21,E181013-001
31,4902521409,Kirkwood Oil & Gas,Federal 21-21,42.81917,-106.68306,33N,82W,21,ne nw,Sixth Principal,"5,628",KB,WRB-2018-86,960,970,Mowry,3.75,419,0.68,16.88,17.56,0.65,0.04,26,3.88,4.33,435,17,18,E181013-002
31,4902521409,Kirkwood Oil & Gas,Federal 21-21,42.81917,-106.68306,33N,82W,21,ne nw,Sixth Principal,"5,628",KB,WRB-2018-87,"1,010","1,020",Mowry,3.50,419,0.69,13.84,14.53,0.49,0.05,28,3.26,3.68,425,15,21,E181013-003
32,4902521385,Viking Energy,Federal 1-29,42.892423,-106.826817,34N,83W,29,nw nw,Sixth Principal,"5,904",KB,WRB-2018-88,870,900,Mowry,2.67,421,0.59,16.87,17.46,0.62,0.03,27,4.04,4.36,417,15,15,E181013-004
32,4902521385,Viking Energy,Federal 1-29,42.892423,-106.826817,34N,83W,29,nw nw,Sixth Principal,"5,904",KB,WRB-2018-89,930,960,Mowry,4.83,418,0.6,17.64,18.24,0.65,0.03,27,4.27,4.85,413,15,14,E181013-005
32,4902521385,Viking Energy,Federal 1-29,42.892423,-106.826817,34N,83W,29,nw nw,Sixth Principal,"5,904",KB,WRB-2018-90,"1,020","1,050",Mowry,3.67,422,0.42,9.15,9.57,0.61,0.04,15,2.86,3.30,320,21,15,E181013-006
